soil_color,soil_ph,soil_n,soil_p,temp,rainfall,forecast_temp,forecast_rainfall,crop_type,plant_health,optimal_fertilizer_amount
light brown,7.23,11.66,23.22,33.06,39.33,32.95,69.63,wheat,yellowing,137.21
light brown,6.24,24.39,21.84,31.8,126.61,27.55,95.79,wheat,healthy,121.25
reddish,6.78,40.65,20.5,28.44,209.74,26.58,14.46,wheat,wilting,113.52
dark brown,5.57,36.07,12.0,28.63,266.0,29.43,209.92,rice,yellowing,115.53
reddish,6.2,39.95,38.76,32.43,146.87,28.69,181.71,wheat,wilting,108.4
dark brown,5.9,37.47,45.97,30.02,216.69,29.7,44.65,wheat,yellowing,117.48
reddish,7.01,14.12,21.07,29.72,226.33,25.67,130.35,wheat,healthy,136.62
light brown,5.71,42.8,34.21,33.93,213.31,31.12,34.7,wheat,healthy,118.34
light brown,7.09,36.65,24.09,28.45,134.86,26.01,257.19,corn,yellowing,134.4
light brown,7.18,23.82,15.21,29.35,264.72,32.48,285.58,corn,healthy,160.23
dark brown,6.73,17.99,36.99,32.31,129.1,31.43,115.7,rice,healthy,107.92
dark brown,6.5,27.28,21.97,30.27,192.3,26.9,70.22,wheat,yellowing,119.77
reddish,7.08,14.52,22.64,26.7,127.76,31.51,128.99,rice,healthy,110.12
dark brown,6.4,27.48,17.94,29.87,129.6,25.55,258.26,rice,yellowing,97.91
reddish,6.41,31.69,18.55,33.96,97.22,32.31,109.98,corn,healthy,142.31
light brown,5.9,44.89,24.25,31.88,54.12,33.51,251.75,wheat,wilting,120.28
reddish,6.71,22.85,41.48,31.19,132.13,27.21,69.29,wheat,yellowing,116.13
reddish,6.7,45.74,43.63,28.66,17.92,29.05,151.57,wheat,wilting,104.04
reddish,7.33,13.14,11.57,34.11,238.46,34.73,68.86,corn,yellowing,167.95
light brown,5.61,13.84,35.34,31.58,241.1,27.63,298.98,corn,healthy,158.97
light brown,6.16,28.13,24.71,30.53,155.72,27.46,214.86,rice,healthy,106.67
light brown,6.21,23.5,49.92,28.31,110.27,34.41,195.8,rice,yellowing,91.75
light brown,7.38,44.85,14.26,29.56,134.35,29.79,189.37,rice,wilting,99.87
dark brown,7.34,33.41,19.29,27.64,270.19,34.01,145.13,wheat,yellowing,127.51
light brown,5.81,49.95,49.57,27.83,253.87,33.44,271.63,rice,wilting,99.14
reddish,5.79,17.38,29.58,26.86,41.87,30.86,262.76,wheat,yellowing,132.43
reddish,5.63,21.99,32.34,27.95,190.88,25.04,243.35,corn,healthy,155.16
light brown,5.57,34.78,40.56,32.06,8.67,25.72,12.33,rice,wilting,108.4
reddish,5.88,28.86,10.61,30.83,255.69,30.64,118.23,rice,healthy,119.15
light brown,6.28,35.49,37.22,27.84,227.87,28.86,159.87,wheat,healthy,111.09
reddish,7.04,14.57,27.33,34.95,47.11,29.08,46.31,corn,yellowing,161.42
dark brown,6.73,46.33,26.19,32.17,215.66,25.48,237.25,rice,wilting,98.08
light brown,6.71,33.46,46.56,31.01,31.05,28.33,140.71,corn,healthy,131.16
reddish,6.49,38.7,30.4,33.03,79.49,26.86,200.96,wheat,wilting,111.53
dark brown,6.38,25.88,47.53,30.5,151.29,30.43,55.35,rice,healthy,101.52
light brown,6.48,25.46,19.35,30.83,74.25,28.37,124.51,rice,healthy,109.32
reddish,6.79,48.69,27.09,30.99,261.72,29.61,40.32,rice,healthy,96.78
light brown,5.78,33.38,33.5,33.29,126.72,26.03,254.29,wheat,healthy,123.26
light brown,6.81,44.54,17.01,26.56,79.37,33.12,140.54,wheat,yellowing,101.37
light brown,6.03,20.72,27.51,31.29,10.69,29.72,211.66,rice,yellowing,109.25
light brown,5.79,48.26,12.76,30.23,201.78,32.47,29.98,rice,healthy,109.84
light brown,5.57,34.34,40.87,27.47,128.92,31.45,149.43,rice,yellowing,97.66
light brown,7.19,32.08,42.69,34.16,207.98,30.0,158.14,rice,healthy,109.04
dark brown,6.26,24.68,42.57,31.11,134.6,29.8,133.25,corn,yellowing,137.87
light brown,7.03,31.78,34.51,29.86,216.99,32.32,216.88,rice,healthy,111.38
reddish,7.44,15.58,34.49,31.75,58.69,31.53,41.48,corn,healthy,158.24
reddish,6.27,42.32,20.99,31.0,38.97,34.53,132.86,corn,wilting,135.05
reddish,6.62,20.55,46.08,29.96,145.66,33.35,72.95,wheat,healthy,104.31
light brown,6.32,36.23,38.68,26.07,194.92,29.69,33.86,wheat,yellowing,110.28
light brown,7.5,38.72,15.09,27.34,183.04,34.26,36.9,wheat,wilting,126.12
dark brown,7.37,44.99,43.49,25.11,13.92,25.81,54.24,wheat,healthy,114.46
reddish,6.02,40.27,28.4,34.53,66.19,28.34,226.22,rice,wilting,100.21
light brown,6.17,12.98,43.95,34.08,181.29,27.8,184.1,wheat,wilting,120.32
dark brown,7.2,34.45,41.91,32.25,75.55,29.86,264.08,rice,yellowing,108.18
reddish,6.96,23.81,18.06,32.05,146.19,30.51,196.21,corn,wilting,147.21
dark brown,6.38,41.02,31.04,32.6,71.8,30.99,5.28,wheat,yellowing,110.18
reddish,5.78,44.54,29.64,33.48,182.51,33.52,239.06,wheat,yellowing,118.84
light brown,6.24,46.77,29.53,29.01,173.84,32.67,93.91,rice,wilting,96.98
dark brown,7.28,12.29,16.92,28.66,67.43,30.43,33.84,rice,healthy,112.41
dark brown,6.21,34.04,36.79,27.41,146.42,30.89,176.16,rice,wilting,90.68
light brown,6.71,43.44,49.04,31.16,211.52,34.49,255.25,corn,wilting,124.28
light brown,5.76,41.25,24.31,25.8,218.62,26.96,166.46,rice,healthy,109.87
light brown,6.74,31.44,48.41,32.42,227.9,27.53,32.03,corn,wilting,131.7
dark brown,5.87,11.24,21.26,30.28,67.39,28.06,283.86,wheat,healthy,138.0
reddish,5.63,44.02,40.61,30.87,222.14,27.39,159.76,wheat,healthy,115.81
light brown,7.24,25.91,41.99,27.08,11.47,26.66,90.01,rice,yellowing,112.0
reddish,6.86,14.92,41.61,34.9,109.14,29.74,60.57,rice,healthy,108.05
reddish,5.83,14.22,28.53,25.62,116.4,30.84,96.3,wheat,wilting,120.9
light brown,6.66,20.68,12.21,31.58,77.79,30.48,261.39,rice,healthy,113.4
dark brown,6.61,49.03,33.03,26.18,167.87,29.89,62.0,wheat,yellowing,105.58
dark brown,7.2,36.54,42.07,25.1,216.07,34.58,113.79,wheat,healthy,119.11
light brown,6.81,21.91,20.65,30.17,255.19,28.88,270.66,rice,yellowing,110.56
reddish,6.66,23.39,47.47,32.79,184.04,29.62,6.33,rice,yellowing,102.66
light brown,7.08,43.75,16.64,25.48,295.65,33.54,98.73,corn,yellowing,147.76
dark brown,7.49,38.37,29.71,31.79,270.9,26.29,263.68,corn,wilting,146.28
dark brown,6.91,26.49,18.13,25.72,18.6,31.46,24.63,corn,wilting,145.58
dark brown,6.39,43.85,10.07,27.12,130.23,33.3,207.45,corn,wilting,124.26
reddish,5.66,10.61,31.4,25.55,210.59,31.19,231.57,corn,healthy,162.33
reddish,5.8,33.3,24.71,31.39,265.67,32.33,53.82,rice,yellowing,113.34
dark brown,6.55,26.52,46.05,26.23,32.96,25.92,15.52,wheat,wilting,112.92
reddish,6.6,36.6,38.56,26.18,66.64,28.33,102.49,corn,healthy,118.95
reddish,6.33,30.76,26.21,26.74,275.78,30.69,80.53,rice,healthy,105.08
dark brown,5.53,39.14,33.96,31.64,248.54,29.28,107.42,corn,wilting,144.29
reddish,5.87,36.77,26.27,29.62,39.75,25.62,234.37,wheat,yellowing,123.73
dark brown,7.13,33.38,38.33,31.7,50.9,33.62,195.56,rice,healthy,109.63
light brown,7.44,35.55,11.23,25.14,219.35,32.68,26.06,wheat,healthy,128.85
light brown,6.62,26.32,15.02,28.98,76.49,28.34,151.94,wheat,healthy,110.1
light brown,6.32,31.42,49.59,26.48,87.49,31.4,296.45,rice,yellowing,88.63
reddish,6.72,46.17,39.86,29.43,250.75,29.94,91.95,corn,wilting,125.95
dark brown,7.48,48.89,40.27,28.07,129.58,32.25,206.35,rice,yellowing,91.91
dark brown,6.98,10.24,17.26,29.3,228.77,32.1,106.87,wheat,healthy,129.7
dark brown,6.43,15.73,18.9,33.32,257.31,25.55,19.52,corn,yellowing,151.76
light brown,5.82,45.31,23.27,28.88,282.5,30.53,143.77,wheat,wilting,120.37
reddish,6.63,42.54,21.98,32.27,7.39,27.91,292.25,rice,wilting,100.92
dark brown,7.41,49.45,31.45,26.64,5.15,31.2,136.31,corn,wilting,139.01
light brown,7.31,49.26,31.33,26.52,159.96,33.64,161.79,corn,healthy,139.17
reddish,5.74,49.92,38.82,33.4,269.65,28.04,103.89,corn,healthy,136.07
reddish,6.5,20.2,22.19,30.7,119.01,30.46,23.05,corn,healthy,147.89
dark brown,6.78,46.83,13.38,25.47,101.01,30.84,156.45,corn,wilting,121.58
light brown,5.92,49.47,19.36,28.49,171.02,34.98,228.1,rice,yellowing,107.51
light brown,6.5,42.3,31.1,29.18,286.86,28.19,267.57,rice,yellowing,98.57
reddish,7.28,44.82,41.65,26.14,9.97,29.54,45.19,rice,yellowing,103.59
light brown,6.59,16.91,16.91,32.52,131.39,28.73,261.66,corn,yellowing,151.77
light brown,6.34,36.69,44.74,34.99,249.95,32.42,91.16,wheat,wilting,108.23
light brown,7.4,14.98,11.0,34.24,203.19,30.21,147.5,wheat,healthy,139.21
reddish,7.33,43.56,38.39,25.95,142.08,32.12,241.69,wheat,healthy,105.04
light brown,7.49,31.97,20.09,33.75,85.81,30.85,214.43,wheat,wilting,127.99
dark brown,5.64,19.1,41.26,25.95,185.38,31.21,216.14,rice,yellowing,115.26
dark brown,6.78,42.33,25.21,29.44,256.63,26.61,253.57,corn,yellowing,133.53
reddish,6.43,42.12,29.74,27.01,253.57,33.54,290.68,corn,wilting,132.02
dark brown,6.53,14.55,22.35,28.29,53.06,30.43,101.46,wheat,yellowing,113.42
light brown,6.42,19.72,42.51,30.05,106.41,28.47,106.52,wheat,wilting,117.39
light brown,7.42,49.43,45.92,28.76,111.7,34.16,74.87,corn,yellowing,120.43
light brown,7.0,13.81,38.02,33.12,298.98,34.47,79.49,rice,wilting,118.52
reddish,6.39,47.55,13.98,32.12,9.06,27.93,157.66,rice,yellowing,100.83
light brown,7.11,48.02,14.44,28.58,236.98,27.79,200.05,rice,yellowing,109.49
light brown,6.54,20.51,44.04,25.82,72.11,33.51,89.49,corn,yellowing,125.86
reddish,6.21,14.58,50.0,26.31,161.07,31.58,86.33,wheat,yellowing,117.71
light brown,6.01,29.94,37.44,32.43,263.61,33.0,176.13,rice,healthy,102.42
light brown,7.39,24.45,33.45,26.82,102.57,34.08,263.92,corn,yellowing,137.96
light brown,7.41,33.84,34.03,25.89,74.78,27.39,113.1,wheat,yellowing,110.58
light brown,6.84,32.43,30.45,30.07,109.68,28.76,48.83,wheat,healthy,114.65
light brown,6.46,46.11,44.25,29.82,3.54,30.32,151.57,rice,wilting,93.3
reddish,6.52,42.97,24.62,33.26,105.77,32.21,85.08,rice,wilting,100.02
reddish,7.35,27.68,42.38,27.18,42.11,34.17,38.52,rice,healthy,111.1
reddish,7.36,33.63,23.66,29.62,145.59,28.85,211.04,rice,wilting,102.13
dark brown,6.84,33.03,10.45,34.72,280.01,26.72,251.39,corn,wilting,144.42
light brown,5.92,14.66,28.92,28.12,74.7,28.46,254.32,rice,healthy,108.53
reddish,5.64,15.14,29.19,30.51,29.43,28.37,146.04,corn,yellowing,160.41
light brown,5.7,49.49,18.82,34.39,275.63,28.17,298.69,rice,wilting,107.65
reddish,5.75,28.36,48.44,30.22,51.16,32.33,34.38,corn,wilting,145.54
dark brown,5.61,15.74,47.28,33.51,69.57,34.27,86.4,wheat,wilting,127.95
light brown,7.05,45.79,32.52,25.26,262.51,28.28,77.66,wheat,wilting,117.35
dark brown,5.93,31.73,11.76,31.48,245.11,26.99,113.59,rice,yellowing,117.55
light brown,6.09,36.15,21.41,28.54,52.09,27.01,165.87,corn,yellowing,124.74
dark brown,5.89,35.26,42.28,30.45,56.52,27.96,137.46,rice,yellowing,107.72
light brown,7.47,46.25,12.27,31.17,121.42,29.29,15.64,corn,healthy,147.83
light brown,7.15,45.61,44.68,30.98,100.5,28.7,206.2,corn,healthy,136.55
dark brown,6.5,36.0,21.54,28.8,33.16,28.58,161.47,wheat,yellowing,115.54
reddish,5.72,28.69,31.49,25.72,152.7,29.84,275.24,rice,yellowing,113.58
dark brown,6.58,37.63,17.62,25.78,145.86,25.28,30.5,corn,yellowing,125.17
light brown,6.17,33.16,41.19,29.52,230.28,32.01,208.0,wheat,healthy,111.06
dark brown,6.33,26.29,16.55,32.34,233.91,28.59,130.44,corn,wilting,146.27
light brown,6.59,46.77,15.08,34.11,32.26,30.71,208.04,wheat,yellowing,112.09
reddish,5.7,45.78,14.42,32.74,22.08,31.53,102.27,corn,yellowing,147.34
dark brown,6.92,14.71,27.85,34.38,154.71,33.72,105.92,wheat,healthy,124.29
dark brown,5.51,29.61,24.99,25.75,258.5,28.73,104.28,wheat,healthy,127.7
reddish,7.36,43.89,27.62,31.11,30.11,33.61,45.67,corn,healthy,143.72
dark brown,6.12,44.0,14.63,26.73,224.88,28.78,203.65,wheat,healthy,113.61
dark brown,6.99,33.33,21.02,28.1,114.74,32.1,247.7,rice,healthy,94.79
light brown,6.52,19.23,29.8,34.11,204.52,26.71,82.5,corn,healthy,145.74
reddish,6.88,21.68,32.37,27.22,241.75,33.64,82.68,wheat,yellowing,119.45
light brown,6.21,25.37,35.94,31.84,167.88,32.69,295.34,wheat,healthy,116.53
reddish,6.97,15.12,20.94,26.57,295.82,31.79,123.08,wheat,yellowing,126.16
light brown,6.3,28.2,17.37,29.54,280.96,30.22,232.2,rice,wilting,108.62
dark brown,5.99,41.83,25.01,28.2,219.39,27.62,231.95,corn,wilting,145.9
light brown,6.19,26.69,49.91,27.17,238.13,25.09,294.88,corn,healthy,134.02
reddish,6.01,19.75,48.13,26.38,260.1,30.25,269.29,rice,wilting,104.12
dark brown,6.8,33.27,13.79,30.45,177.69,30.28,204.97,wheat,healthy,119.23
reddish,7.24,41.14,24.9,30.57,167.22,28.46,163.57,rice,wilting,109.77
reddish,7.0,27.08,42.3,28.85,10.52,34.6,10.34,wheat,yellowing,113.77
dark brown,5.74,40.49,38.44,26.44,154.81,34.91,177.5,rice,healthy,106.4
reddish,5.86,14.36,36.43,29.1,73.16,30.01,285.3,rice,wilting,106.83
light brown,7.02,19.19,41.62,27.29,203.77,32.06,107.98,wheat,healthy,127.92
light brown,7.36,10.6,12.57,31.28,62.28,33.21,82.42,wheat,yellowing,140.93
reddish,6.67,15.25,48.69,26.43,12.5,29.57,14.61,rice,yellowing,105.99
light brown,6.27,44.02,34.23,33.55,91.23,30.24,235.5,corn,healthy,129.26
light brown,7.1,36.89,14.11,26.77,86.17,32.24,35.27,rice,yellowing,103.13
reddish,6.2,18.74,31.69,29.89,78.67,33.06,240.98,wheat,yellowing,109.01
light brown,5.73,47.74,36.51,31.45,223.2,33.32,101.76,corn,healthy,138.21
light brown,5.91,46.96,10.09,27.82,258.17,29.39,10.74,rice,healthy,111.14
light brown,6.32,45.14,26.32,27.39,116.17,34.18,115.04,rice,wilting,88.72
light brown,5.61,28.18,31.72,26.19,12.83,29.33,113.48,rice,yellowing,113.76
dark brown,6.79,21.25,45.46,29.6,188.77,32.99,205.58,corn,healthy,138.89
dark brown,7.45,18.54,39.72,31.17,201.27,31.71,223.37,corn,healthy,154.58
light brown,6.38,17.02,48.49,34.28,67.35,29.41,280.37,corn,healthy,140.33
reddish,7.03,18.04,33.7,25.26,252.91,29.75,52.71,corn,wilting,157.04
reddish,6.35,11.97,43.32,29.84,263.92,32.47,189.56,rice,yellowing,108.92
light brown,5.92,49.86,26.85,34.34,111.22,29.43,275.23,corn,wilting,140.42
light brown,7.4,11.11,34.5,30.08,86.97,29.27,34.45,rice,healthy,120.68
reddish,7.28,11.18,20.52,31.6,212.03,32.22,90.34,wheat,yellowing,138.26
dark brown,6.54,11.27,21.9,34.07,179.16,32.69,54.61,rice,healthy,115.01
light brown,7.38,10.31,30.07,25.38,58.93,25.67,45.73,rice,yellowing,110.02
light brown,5.67,16.43,18.89,32.0,151.8,27.47,128.52,wheat,wilting,136.12
light brown,7.24,12.14,17.35,33.85,299.13,27.33,29.31,rice,healthy,124.85
dark brown,7.07,35.04,44.87,26.91,137.67,25.96,267.68,corn,yellowing,128.54
dark brown,5.95,21.28,19.6,25.95,155.33,27.46,244.99,rice,healthy,120.13
dark brown,6.75,13.24,22.2,27.06,272.32,25.51,129.77,wheat,wilting,126.72
light brown,7.09,27.34,30.47,33.16,273.11,30.19,47.52,corn,healthy,152.62
dark brown,7.37,35.94,12.0,26.66,286.53,33.34,189.08,corn,healthy,154.11
light brown,6.12,39.77,39.66,33.38,239.8,31.95,295.7,rice,wilting,97.4
light brown,5.71,46.93,17.59,29.13,269.77,34.98,26.45,wheat,wilting,121.26
dark brown,6.23,12.39,37.36,26.43,117.47,28.45,14.76,rice,yellowing,99.3
dark brown,6.65,40.1,26.01,34.36,187.06,28.45,234.34,rice,wilting,100.93
light brown,6.33,19.72,14.66,25.44,206.27,25.86,184.83,rice,wilting,113.17
light brown,6.84,26.77,40.94,33.83,69.34,34.72,268.54,wheat,wilting,114.33
light brown,6.39,37.84,48.19,26.12,12.17,26.37,284.61,rice,yellowing,95.96
dark brown,6.17,19.93,34.85,30.56,246.61,26.11,146.55,corn,yellowing,143.5
reddish,5.77,28.56,49.88,30.23,264.31,29.28,25.09,corn,wilting,144.91
dark brown,5.57,25.89,26.87,33.56,113.46,25.1,221.3,wheat,wilting,128.99
light brown,5.86,33.48,15.02,25.83,120.49,34.19,95.02,corn,healthy,139.06
light brown,7.28,11.88,39.08,28.25,88.62,26.09,27.66,wheat,wilting,119.1
reddish,6.0,24.24,24.68,26.16,119.1,25.74,191.23,corn,yellowing,140.92
reddish,7.46,26.66,29.3,29.11,262.31,28.32,95.99,rice,yellowing,115.09
light brown,6.48,10.93,16.37,30.19,223.79,26.35,271.28,wheat,healthy,129.62
reddish,5.64,42.45,30.43,31.95,218.25,32.83,55.28,rice,healthy,107.68
light brown,6.04,42.53,15.65,34.12,95.56,27.37,23.8,corn,yellowing,136.85
dark brown,5.6,48.81,28.43,32.41,201.63,29.48,224.11,corn,wilting,140.48
dark brown,5.62,46.94,49.86,33.95,208.21,30.89,239.61,wheat,healthy,111.57
dark brown,6.89,11.32,22.31,33.25,218.07,29.07,227.31,rice,wilting,114.88
reddish,5.77,20.99,23.41,27.69,195.88,29.76,47.73,rice,yellowing,119.24
reddish,6.2,46.27,33.99,26.32,51.5,33.96,21.46,corn,yellowing,115.2
reddish,6.72,11.53,34.23,25.09,165.12,27.0,261.81,wheat,yellowing,123.97
reddish,6.7,34.84,41.64,29.54,40.15,30.15,13.18,rice,healthy,99.08
light brown,7.16,12.67,42.91,25.65,226.19,26.25,50.4,corn,wilting,156.95
reddish,6.83,21.78,27.83,34.44,31.97,32.77,41.24,wheat,wilting,120.76
dark brown,6.42,12.89,24.31,33.08,127.05,25.55,108.62,wheat,healthy,126.26
dark brown,6.39,14.38,29.55,28.68,232.14,26.67,122.19,rice,wilting,111.55
reddish,5.72,44.86,33.32,34.68,272.37,27.84,16.94,wheat,healthy,117.57
reddish,7.14,24.37,28.37,25.59,196.62,28.53,295.45,corn,yellowing,155.16
dark brown,5.9,26.86,25.84,30.88,259.75,30.97,22.82,corn,healthy,154.58
reddish,5.5,22.67,10.85,26.71,230.63,25.84,211.11,wheat,wilting,135.41
light brown,7.03,45.67,22.59,30.49,38.23,25.98,281.2,corn,healthy,144.46
light brown,6.52,19.45,10.41,31.26,9.97,34.54,128.41,wheat,healthy,127.15
reddish,7.05,24.37,22.39,25.74,235.95,25.6,60.62,corn,healthy,157.32
light brown,6.92,25.86,22.49,27.27,11.09,26.81,175.67,corn,yellowing,144.39
dark brown,5.52,28.68,16.69,26.33,243.64,30.97,106.93,corn,healthy,156.78
light brown,6.29,30.23,26.62,27.55,287.73,25.85,87.08,wheat,yellowing,116.9
light brown,6.71,39.33,49.06,34.58,288.29,26.93,214.04,wheat,wilting,105.61
dark brown,7.15,46.65,46.27,25.84,171.84,33.05,85.23,corn,wilting,135.35
reddish,5.73,23.22,19.03,30.93,77.82,33.03,190.06,rice,yellowing,119.41
light brown,6.72,24.92,17.57,25.95,85.3,27.91,70.65,rice,healthy,99.04
reddish,6.29,42.89,11.04,32.75,136.46,29.01,257.88,wheat,healthy,115.24
reddish,6.45,26.89,46.08,25.95,138.61,30.43,109.33,rice,healthy,91.31
reddish,6.54,14.3,12.97,32.22,264.55,32.74,12.04,rice,healthy,116.06
reddish,6.52,39.32,13.95,27.94,58.77,25.25,226.4,rice,wilting,94.09
light brown,7.41,35.61,20.71,34.19,5.07,26.67,108.01,wheat,wilting,125.98
reddish,6.36,39.1,26.65,32.4,151.13,33.43,38.66,corn,healthy,134.95
light brown,6.01,20.51,34.11,31.95,85.58,29.92,207.99,corn,healthy,143.41
reddish,6.72,40.85,10.69,34.31,37.84,31.71,220.87,wheat,wilting,116.37
dark brown,6.68,43.36,17.43,25.5,170.09,26.18,241.77,corn,wilting,135.71
light brown,5.79,18.69,36.24,30.55,99.27,34.12,9.05,corn,yellowing,155.74
dark brown,5.52,47.01,32.16,29.06,124.25,32.51,261.55,rice,yellowing,94.65
light brown,6.86,48.69,45.87,28.85,190.99,27.07,233.12,corn,healthy,122.27
light brown,5.58,45.2,19.36,25.96,198.84,25.4,184.38,wheat,yellowing,121.59
reddish,5.68,24.35,21.3,27.16,71.83,27.5,242.64,rice,wilting,106.46
dark brown,6.58,13.44,10.27,28.4,39.15,31.77,274.92,corn,yellowing,156.24
reddish,7.16,23.53,45.76,29.59,171.45,32.69,154.61,rice,healthy,112.06
reddish,5.91,34.92,37.28,25.45,299.72,26.04,36.86,rice,yellowing,109.22
dark brown,5.89,39.76,38.92,29.57,282.26,31.53,4.39,corn,yellowing,142.13
reddish,6.3,24.34,31.84,29.37,72.06,25.34,99.35,wheat,healthy,106.45
reddish,7.33,28.01,13.19,26.95,109.92,32.25,152.36,rice,wilting,106.95
reddish,7.16,49.73,30.79,26.84,108.92,26.05,226.08,wheat,yellowing,104.31
light brown,5.96,37.14,41.04,28.48,20.92,27.6,208.62,wheat,yellowing,119.12
reddish,7.19,22.32,40.99,31.71,95.0,31.2,284.97,corn,healthy,151.85
light brown,5.71,10.03,38.74,30.01,245.88,32.58,53.15,rice,healthy,120.03
reddish,5.71,47.42,35.25,30.95,177.27,29.66,155.46,corn,healthy,138.86
reddish,6.03,34.94,28.99,32.1,30.97,28.09,66.55,rice,wilting,102.45
reddish,6.15,33.82,44.91,26.58,270.77,26.85,183.46,wheat,wilting,109.62
dark brown,6.33,44.23,43.5,32.47,207.39,25.48,251.43,rice,yellowing,94.35
dark brown,7.24,10.51,17.46,29.75,41.33,25.7,51.05,rice,wilting,125.56
reddish,5.65,43.37,23.65,29.02,289.5,29.37,79.88,rice,yellowing,109.1
light brown,5.85,46.22,22.16,34.42,6.61,29.37,79.23,rice,yellowing,108.22
dark brown,6.56,10.27,33.77,31.68,170.56,33.9,98.2,wheat,yellowing,124.73
reddish,6.83,32.29,16.89,28.94,17.86,32.83,20.0,rice,yellowing,106.91
reddish,7.06,27.63,48.67,26.7,114.93,28.79,220.58,wheat,healthy,109.43
reddish,5.57,18.02,49.7,33.84,95.9,28.6,89.56,rice,yellowing,113.47
light brown,5.97,35.47,18.23,32.12,250.7,30.2,31.92,rice,wilting,114.12
dark brown,6.65,20.74,20.73,29.25,166.49,27.27,209.09,corn,wilting,148.09
dark brown,7.04,47.57,43.29,32.91,78.34,32.43,37.06,rice,yellowing,101.91
dark brown,7.12,43.49,39.97,27.07,220.92,28.67,126.74,corn,healthy,139.51
dark brown,6.36,35.49,41.74,29.2,170.68,25.21,179.41,corn,wilting,131.68
light brown,5.99,31.97,32.13,33.1,237.41,31.78,108.52,rice,yellowing,111.94
light brown,6.66,48.81,21.62,29.26,277.99,26.16,136.52,wheat,wilting,109.11
dark brown,6.8,18.77,17.98,31.38,269.0,25.72,118.79,rice,yellowing,112.7
reddish,6.87,45.81,34.24,33.09,23.21,28.26,114.82,wheat,wilting,106.82
reddish,6.43,29.65,35.08,34.56,224.64,30.32,170.93,corn,healthy,137.58
dark brown,5.94,37.54,40.94,33.53,15.49,25.77,156.98,wheat,yellowing,118.95
light brown,6.59,23.09,35.89,33.49,280.69,30.15,298.57,wheat,healthy,117.69
light brown,5.59,46.87,23.31,34.88,142.5,30.65,257.09,rice,yellowing,107.62
dark brown,5.72,31.02,49.63,26.58,236.3,29.88,263.09,wheat,yellowing,119.6
light brown,7.4,33.06,47.47,25.72,36.94,31.33,157.48,corn,yellowing,143.07
dark brown,7.25,36.24,21.66,33.28,118.49,33.61,217.07,rice,yellowing,112.84
reddish,6.92,38.9,13.14,25.56,92.48,26.13,38.27,wheat,wilting,104.95
reddish,6.61,27.28,47.22,32.61,206.27,33.91,57.43,rice,wilting,100.98
dark brown,6.44,45.16,31.79,30.25,216.68,34.72,106.99,wheat,wilting,107.88
light brown,6.43,39.37,35.05,29.89,29.47,30.18,140.1,corn,healthy,131.76
light brown,6.85,18.43,38.72,29.93,167.55,32.27,282.34,wheat,healthy,119.17
light brown,6.39,49.52,44.54,34.87,92.55,27.22,180.36,rice,yellowing,91.69
reddish,6.64,39.59,19.65,29.64,86.01,28.45,1.17,rice,healthy,92.59
light brown,5.89,32.19,24.22,26.43,223.8,29.76,169.97,corn,yellowing,151.97
reddish,6.97,26.13,28.69,33.86,220.56,29.23,133.87,rice,wilting,106.5
light brown,6.35,12.67,11.15,29.11,298.43,31.16,75.03,wheat,wilting,130.32
reddish,7.03,12.16,14.44,30.34,63.46,31.74,197.89,corn,yellowing,167.51
light brown,6.06,49.84,23.45,34.72,35.44,25.28,153.25,wheat,yellowing,108.05
dark brown,5.7,11.42,31.33,33.8,60.12,26.64,198.53,wheat,wilting,134.89
reddish,7.3,32.11,31.92,26.18,291.79,25.2,37.54,corn,healthy,149.25
light brown,5.57,25.97,28.11,33.17,89.9,34.75,140.85,rice,yellowing,115.73
dark brown,6.72,22.6,28.26,28.02,184.09,30.56,145.25,wheat,yellowing,120.22
light brown,7.44,33.68,32.06,29.3,67.65,28.34,146.03,rice,healthy,100.07
reddish,6.4,49.51,24.45,32.32,141.98,32.36,225.25,wheat,healthy,107.91
dark brown,6.11,49.79,47.85,25.32,91.92,26.72,234.49,rice,healthy,81.61
light brown,7.09,19.99,42.47,27.36,24.45,27.28,181.17,rice,healthy,114.54
dark brown,7.39,36.84,24.26,27.41,123.3,31.4,262.33,rice,wilting,100.69
dark brown,7.19,10.12,39.96,29.81,178.85,30.9,212.47,rice,healthy,119.66
reddish,6.02,15.23,19.51,32.91,245.47,30.9,273.55,corn,wilting,151.84
dark brown,7.4,14.16,48.14,29.2,144.02,34.57,53.54,wheat,yellowing,115.63
dark brown,6.56,13.78,16.81,28.09,8.82,28.88,84.96,wheat,wilting,128.07
light brown,6.14,11.29,14.88,27.04,260.48,28.16,260.81,corn,yellowing,155.87
reddish,7.21,31.14,33.45,28.25,100.6,30.72,237.22,rice,wilting,100.76
reddish,6.06,35.52,28.91,29.84,180.46,31.16,33.03,corn,yellowing,136.28
light brown,7.17,13.79,19.34,26.15,163.79,29.16,39.47,corn,healthy,164.76
dark brown,6.82,49.33,49.03,26.74,88.31,33.48,160.44,corn,wilting,108.67
dark brown,7.44,31.84,36.19,34.5,295.32,34.4,249.42,wheat,yellowing,123.22
light brown,6.08,49.8,29.9,29.32,62.13,30.44,27.91,corn,healthy,114.62
reddish,6.78,30.26,34.14,32.68,271.51,32.56,41.58,corn,healthy,137.55
